,game_id,game_date,home_team,away_team,home_score,away_score,total_score,overtime,venue,win_team,lose_team
1504,2024020236,2024-11-10,NJD,SJS,0,1,1,False,Prudential Center,SJS,NJD
1505,2024020237,2024-11-10,CHI,MIN,2,1,3,True,United Center,CHI,MIN
1506,2024020238,2024-11-10,ANA,CBJ,4,2,6,False,Honda Center,ANA,CBJ
1552,2024020239,2024-11-11,BUF,MTL,5,7,12,False,KeyBank Center,MTL,BUF
1553,2024020240,2024-11-11,PHI,SJS,4,3,7,True,Wells Fargo Center,PHI,SJS
1554,2024020241,2024-11-11,PIT,DAL,1,7,8,False,PPG Paints Arena,DAL,PIT
1555,2024020242,2024-11-11,CGY,LAK,3,1,4,False,Scotiabank Saddledome,CGY,LAK
1556,2024020243,2024-11-11,COL,NSH,3,2,5,True,Ball Arena,COL,NSH
1557,2024020244,2024-11-11,VGK,CAR,2,5,7,False,T-Mobile Arena,CAR,VGK
1598,2024020245,2024-11-12,TOR,OTT,0,3,3,False,Scotiabank Arena,OTT,TOR
1599,2024020247,2024-11-12,NYR,WPG,3,6,9,False,Madison Square Garden,WPG,NYR
1600,2024020246,2024-11-12,FLA,NJD,1,4,5,False,Amerant Bank Arena,NJD,FLA
1601,2024020248,2024-11-12,STL,BOS,2,3,5,False,Enterprise Center,BOS,STL
1602,2024020249,2024-11-12,EDM,NYI,4,3,7,True,Rogers Place,EDM,NYI
1603,2024020250,2024-11-12,VAN,CGY,3,1,4,False,Rogers Arena,VAN,CGY
1604,2024020251,2024-11-12,SEA,CBJ,5,2,7,False,Climate Pledge Arena,SEA,CBJ
1649,2024020252,2024-11-13,PIT,DET,2,3,5,True,PPG Paints Arena,DET,PIT
1650,2024020253,2024-11-13,WSH,TOR,3,4,7,True,Capital One Arena,TOR,WSH
1651,2024020254,2024-11-13,UTA,CAR,4,1,5,False,Delta Center,UTA,CAR
1652,2024020255,2024-11-13,COL,LAK,4,2,6,False,Ball Arena,COL,LAK
1653,2024020256,2024-11-13,ANA,VGK,2,3,5,False,Honda Center,VGK,ANA
1691,2024020258,2024-11-14,OTT,PHI,4,5,9,True,Canadian Tire Centre,PHI,OTT
1692,2024020259,2024-11-14,TBL,WPG,4,1,5,False,Amalie Arena,TBL,WPG
1693,2024020260,2024-11-14,FLA,NJD,2,6,8,False,Amerant Bank Arena,NJD,FLA
1694,2024020261,2024-11-14,NYR,SJS,3,2,5,False,Madison Square Garden,NYR,SJS
1695,2024020257,2024-11-14,BUF,STL,4,3,7,True,KeyBank Center,BUF,STL
1696,2024020262,2024-11-14,DAL,BOS,7,2,9,False,American Airlines Center,DAL,BOS
1697,2024020263,2024-11-14,MIN,MTL,3,0,3,False,Xcel Energy Center,MIN,MTL
1698,2024020264,2024-11-14,EDM,NSH,3,2,5,True,Rogers Place,EDM,NSH
1699,2024020265,2024-11-14,VAN,NYI,2,5,7,False,Rogers Arena,NYI,VAN
1700,2024020266,2024-11-14,SEA,CHI,3,1,4,False,Climate Pledge Arena,SEA,CHI
1744,2024020267,2024-11-15,CBJ,PIT,6,2,8,False,Nationwide Arena,CBJ,PIT
1745,2024020268,2024-11-15,COL,WSH,2,5,7,False,Ball Arena,WSH,COL
1746,2024020269,2024-11-15,CGY,NSH,2,0,2,False,Scotiabank Saddledome,CGY,NSH
1747,2024020270,2024-11-15,UTA,VGK,2,4,6,False,Delta Center,VGK,UTA
1748,2024020271,2024-11-15,ANA,DET,6,4,10,False,Honda Center,ANA,DET
1785,2024020272,2024-11-16,BOS,STL,2,3,5,True,TD Garden,STL,BOS
1786,2024020273,2024-11-16,SEA,NYI,3,2,5,False,Climate Pledge Arena,SEA,NYI
1787,2024020274,2024-11-16,TOR,EDM,4,3,7,True,Scotiabank Arena,TOR,EDM
1788,2024020275,2024-11-16,MTL,CBJ,5,1,6,False,Centre Bell,MTL,CBJ
1789,2024020276,2024-11-16,TBL,NJD,4,0,4,False,Amalie Arena,TBL,NJD
1790,2024020277,2024-11-16,FLA,WPG,5,0,5,False,Amerant Bank Arena,FLA,WPG
1791,2024020278,2024-11-16,PHI,BUF,5,2,7,False,Wells Fargo Center,PHI,BUF
1792,2024020279,2024-11-16,PIT,SJS,4,3,7,True,PPG Paints Arena,PIT,SJS
1793,2024020280,2024-11-16,CAR,OTT,4,0,4,False,Lenovo Center,CAR,OTT
1794,2024020281,2024-11-16,MIN,DAL,1,2,3,False,Xcel Energy Center,DAL,MIN
1795,2024020282,2024-11-16,LAK,DET,4,1,5,False,Crypto.com Arena,LAK,DET
1796,2024020283,2024-11-16,VAN,CHI,4,1,5,False,Rogers Arena,VAN,CHI
1842,2024020284,2024-11-17,CAR,STL,4,1,5,False,Lenovo Center,CAR,STL
1843,2024020286,2024-11-17,VGK,WSH,2,5,7,False,T-Mobile Arena,WSH,VGK
1844,2024020287,2024-11-17,SEA,NYR,0,2,2,False,Climate Pledge Arena,NYR,SEA
1845,2024020285,2024-11-17,VAN,NSH,3,5,8,False,Rogers Arena,NSH,VAN
1889,2024020288,2024-11-18,BOS,CBJ,1,5,6,False,TD Garden,CBJ,BOS
1890,2024020289,2024-11-18,PHI,COL,2,3,5,False,Wells Fargo Center,COL,PHI
1891,2024020290,2024-11-18,MTL,EDM,3,0,3,False,Centre Bell,MTL,EDM
1892,2024020291,2024-11-18,DAL,ANA,2,4,6,False,American Airlines Center,ANA,DAL
1893,2024020292,2024-11-18,UTA,WSH,2,6,8,False,Delta Center,WSH,UTA
1894,2024020293,2024-11-18,SJS,DET,5,4,9,True,SAP Center at San Jose,SJS,DET
1937,2024020294,2024-11-19,OTT,EDM,2,5,7,False,Canadian Tire Centre,EDM,OTT
1938,2024020295,2024-11-19,PIT,TBL,2,3,5,True,PPG Paints Arena,TBL,PIT
1939,2024020296,2024-11-19,STL,MIN,2,4,6,False,Enterprise Center,MIN,STL
